created_at,temperature,humidity,motion,gas,alarm,is_night,motion_duration_sec,class,reason
2026-06-21T01:15:55.345944,31.5,57.0,0,0,0,1,0,1,warm
2026-06-21T01:15:57.351686,31.0,57.0,1,0,0,1,0,1,warm
2026-06-21T01:16:01.365338,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:01.365338,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:03.369567,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:05.375469,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:07.381823,31.6,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:11.394200,31.5,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:11.395211,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:13.400083,31.7,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:15.405251,31.3,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:17.411543,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:19.418088,31.5,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:21.424185,31.0,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:23.429391,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:25.435093,31.3,57.0,1,0,0,1,0,1,warm
2026-06-21T01:16:27.442327,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:29.449666,31.6,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:31.454253,31.6,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:35.466604,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:35.466604,31.5,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:37.472081,31.5,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:39.477520,31.3,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:41.484197,31.3,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:45.496772,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:45.497865,31.6,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:47.502076,31.5,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:49.508665,31.3,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:51.513991,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:53.519428,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:55.527678,31.4,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:57.531211,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:16:59.538247,31.4,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:01.543383,31.0,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:05.556370,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:05.557366,31.5,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:07.562099,31.8,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:09.569268,31.7,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:11.573098,31.6,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:13.578646,31.4,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:15.585142,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:19.597152,31.5,57.0,1,0,0,1,0,1,warm
2026-06-21T01:17:19.598153,31.6,57.0,1,0,0,1,0,1,warm
2026-06-21T01:17:21.604329,31.1,57.0,1,0,0,1,3,1,warm
2026-06-21T01:17:23.609823,31.0,57.0,1,0,0,1,0,1,warm
2026-06-21T01:17:25.614962,31.2,57.0,1,0,0,1,0,1,warm
2026-06-21T01:17:27.620575,31.2,57.0,1,0,0,1,3,1,warm
2026-06-21T01:17:31.633147,31.1,57.0,1,0,1,1,5,2,night_sustained_motion
2026-06-21T01:17:31.634386,31.0,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:35.645313,31.6,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:35.646312,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:37.650324,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:39.657302,31.7,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:41.662929,31.5,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:45.675394,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:45.675394,31.4,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:47.681384,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:49.686828,31.7,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:51.692982,31.4,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:55.705906,31.7,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:55.707139,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:59.716555,31.8,57.0,0,0,0,1,0,1,warm
2026-06-21T01:17:59.717567,31.5,57.0,0,0,0,1,0,1,warm
